filename,original_path,doc_kind,extraction_status,proposed_bucket,reason
April 2021 captable.pdf,1. Cap Table\April 2021 captable.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
Cap Table.xlsx,1. Cap Table\Cap Table.xlsx,cap_table,extracted_text,05_Capitalization_and_Securities,name:'cap table'
December 2020 captable.pdf,1. Cap Table\December 2020 captable.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
June 2021 captable.pdf,1. Cap Table\June 2021 captable.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
November2020captable.pdf,1. Cap Table\November2020captable.pdf,cap_table,extracted_text,05_Capitalization_and_Securities,name:'captable'
RE_ G42 Investments.msg,1. Cap Table\RE_ G42 Investments.msg,cap_table,extracted_text,05_Capitalization_and_Securities,kind:cap_table
3.2 - ONT Articles 9th June 2021.pdf,1. Due Diligence Documents\3.2 - ONT Articles 9th June 2021.pdf,constitutional_document,extracted_text,04_Legal_and_Closing,name:'articles'
Copy of ONT - EXTERNAL (G42) Investor Model March 2020 vF.xlsx,1. Due Diligence Documents\Copy of ONT - EXTERNAL (G42) Investor Model March 2020 vF.xlsx,due_diligence,extracted_text,02_Due_Diligence,kind:due_diligence
Evolution of Forecast for G42 vF.pdf,1. Due Diligence Documents\Evolution of Forecast for G42 vF.pdf,due_diligence,extracted_text,02_Due_Diligence,kind:due_diligence
KPMG Report - Project NGS (Volume I - Financial and Tax DD).pdf,1. Due Diligence Documents\KPMG Report - Project NGS (Volume I - Financial and Tax DD).pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
ONT DD revised Val & cashflow v01.xlsx,1. Due Diligence Documents\ONT DD revised Val & cashflow v01.xlsx,financial_model,extracted_text,07_Monitoring_and_Financials,kind:financial_model
ONT Valuation for G42 4 Apr 2020vF.pdf,1. Due Diligence Documents\ONT Valuation for G42 4 Apr 2020vF.pdf,valuation_support,extracted_text,08_Valuation,name:'valuation'
ONT Valuation report Overview -v2.pptx,1. Due Diligence Documents\ONT Valuation report Overview -v2.pptx,valuation_support,extracted_text,08_Valuation,name:'valuation'
Nominee Direction letter_MOZN_Innovation_G42 investments.pdf,1. Nominee Shareholder Letter\Nominee Direction letter_MOZN_Innovation_G42 investments.pdf,shareholder_document,extracted_text,05_Capitalization_and_Securities,name:'nominee'
Nominee Shareholder Letter.pdf,1. Nominee Shareholder Letter\Nominee Shareholder Letter.pdf,shareholder_document,extracted_text,05_Capitalization_and_Securities,name:'nominee'
ONT G42 Investment & JV TS 20 11 19.doc,2. Transaction Closure Documents\1. Term Sheet\ONT G42 Investment & JV TS 20 11 19.doc,term_sheet,extracted_text,04_Legal_and_Closing,kind:term_sheet
G42 - 4 June offer application letter 4836-6703-4048 1 (002).pdf,2. Transaction Closure Documents\2. Pre-emptive Offer\G42 - 4 June offer application letter 4836-6703-4048 1 (002).pdf,unclassified_document,extracted_text,04_Legal_and_Closing,folder-hint:'transaction closure'
ONT - Tender Letter 3 Nov 2020.pdf,2. Transaction Closure Documents\2. Pre-emptive Offer\ONT - Tender Letter 3 Nov 2020.pdf,unclassified_document,extracted_text,04_Legal_and_Closing,folder-hint:'transaction closure'
G42 allocation in Pre-Emptive Placing.pdf,2. Transaction Closure Documents\2. Pre-emptive offer April 2021\G42 allocation in Pre-Emptive Placing.pdf,unclassified_document,extracted_text,04_Legal_and_Closing,folder-hint:'transaction closure'
ONT Articles of Association 30 Jun 20 ONT20G42.pdf,"2. Transaction Closure Documents\3. SPA, Subscription, AoA\ONT Articles of Association 30 Jun 20 ONT20G42.pdf",subscription_agreement,extracted_text,04_Legal_and_Closing,name:'articles'
Oxford - G42 Purchase and Sale Agreement_08Dec2019_FE.pdf,"2. Transaction Closure Documents\3. SPA, Subscription, AoA\Oxford - G42 Purchase and Sale Agreement_08Dec2019_FE.pdf",subscription_agreement,extracted_text,04_Legal_and_Closing,name:'agreement'
Oxford - G42 Research Collaboration Agreement_08Dec2019_FE.pdf,2. Transaction Closure Documents\4. Collaboration Agreement\Oxford - G42 Research Collaboration Agreement_08Dec2019_FE.pdf,unclassified_document,extracted_text,04_Legal_and_Closing,name:'agreement'
FW_ G42 Investments.msg,2. Transaction Closure Documents\Fund Transfer Instructions - From Caline\FW_ G42 Investments.msg,unclassified_document,extracted_text,04_Legal_and_Closing,folder-hint:'transaction closure'
FW_ ONT pre-emption offer 11th June 2020 - G42.msg,2. Transaction Closure Documents\Fund Transfer Instructions - From Caline\FW_ ONT pre-emption offer 11th June 2020 - G42.msg,unclassified_document,extracted_text,10_Exit_and_Public_Markets,name:'pre-emption'
FW_ ONT pre-emption offer 4th June 2020 - G42.msg,2. Transaction Closure Documents\Fund Transfer Instructions - From Caline\FW_ ONT pre-emption offer 4th June 2020 - G42.msg,unclassified_document,extracted_text,10_Exit_and_Public_Markets,name:'pre-emption'
FW_ ONT pre-emptive offer.msg,2. Transaction Closure Documents\Fund Transfer Instructions - From Caline\FW_ ONT pre-emptive offer.msg,unclassified_document,extracted_text,04_Legal_and_Closing,folder-hint:'transaction closure'
ONT pre-emptive offer 15th July 2020 ONT20G42.pdf,2. Transaction Closure Documents\Fund Transfer Instructions - From Caline\ONT pre-emptive offer 15th July 2020 ONT20G42.pdf,unclassified_document,extracted_text,04_Legal_and_Closing,folder-hint:'transaction closure'
Oxford Nanopore - Investment Summary (Sep 2020) 4814-2336-4042 2.docx,2. Transaction Closure Documents\Oxford Nanopore - Investment Summary (Sep 2020) 4814-2336-4042 2.docx,unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'investment summary'
"Oxford Nanopore - Investment Summary (Sep 2020) 4814-2336-4042, 2.docx","2. Transaction Closure Documents\Oxford Nanopore - Investment Summary (Sep 2020) 4814-2336-4042, 2.docx",unclassified_document,extracted_text,01_Investment_Thesis_and_Memos,name:'investment summary'
31-12-2019 ONT Accounts.pdf,3. Monitoring\1. Financials\31-12-2019 ONT Accounts.pdf,financial_statement,extracted_text,07_Monitoring_and_Financials,kind:financial_statement
